State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Pine Hills Elementary School",305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3
"School 19",495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sheridan Preparatory Academy",371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30
"Stephen And Harriet Myers Middle School",576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,47,0,0,0,5,0,2,0,1,0,0,0,0,0,0,221
"Thomas S O'Brien Academy Of Science & Technology",488,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"William S Hackett Middle School",495,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,2,0,210,0,70,0,0,0,15,0,4,0,0,0,0,4,4,1,0,408
"Berne-Knox-Westerlo Elementary School",409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berne-Knox-Westerlo Junior-Senior High School",671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2,3,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0
"Bethlehem Central Middle School",1217,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,17,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"Bethlehem Central Senior High School",1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,0,0,0,4,0,0,0,2,0,0,0,0,8,15,0
"Clarksville Elementary School",265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elsmere Elementary School",326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glenmont Elementary School",454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hamagrael Elementary School",488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slingerlands Elementary School",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abram Lansing School",387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
